GeneID	SRR14995084	SRR14995085	SRR14995086	Mean Count
PA0826.2	2299399	2695229	2831004	2608544
PA4726.11	265392	389058	424511	359653
PA1178	381559	299318	310197	330358
PA1777	295072	259184	252181	268812
PA4421.1	153779	329619	295201	259533
PA3049	189287	217749	236995	214677
PA4385	223503	205645	190935	206694
PA2247	223848	192780	184985	200537
PA3622	141002	134920	127811	134577
PA2623	118832	127000	123063	122965
PA2248	114262	105407	102525	107398
PA2249	99463	97322	97921	98235
PA2250	94201	99071	101413	98228
PA2853	88556	88261	93595	90137
PA4225	85683	83799	93322	87601
PA4226	82927	84373	90682	85994
PA4270	80067	76584	70447	75699
PA4761	78555	74902	70258	74571
PA3529	73869	73990	73618	73825
PA4463	71365	67347	71789	70167
PA4228	75314	67003	68115	70144
PA4922	73672	63158	61334	66054
PA5227.1	41021	57769	96301	65030
PA4269	64719	62929	57280	61642
PA1803	59271	61156	59255	59894
PA1588	61409	61327	53616	58784
PA0865	61892	54783	54623	57099
PA1585	56154	57050	53005	55403
PA5312	56777	53763	54771	55103
PA4221	53787	52957	53724	53489
PA1802	50812	51819	54994	52541
PA1092	63199	45640	44634	51157
PA2604	55783	46597	50956	51112
PA5348	53536	49611	49066	50737
PA1592	47741	47490	48976	48069
PA1587	48694	48663	44986	47447
PA4266	49126	48269	44910	47435
PA3819	38925	48330	51857	46370
PA0588	51093	42724	44508	46108
PA3814	47491	41839	41368	43566
PA1589	42370	45250	40389	42669
PA5556	40348	39439	36238	38675
PA5531	41053	36151	38562	38588
PA5429	38144	39392	38133	38556
PA0958	43236	37581	34727	38514
PA2620	39625	36869	38984	38492
PA4751	38233	37514	38946	38231
PA3923	43362	35530	34102	37664
PA5119	42306	35610	33863	37259
PA4523	36952	35463	38926	37113
PA4207	38881	34436	37636	36984
PA1580	41047	35225	33028	36433
PA0763	32029	36028	37863	35306
PA2951	36696	34421	33932	35016
PA1583	35453	35540	33499	34830
PA2738	31915	34956	36779	34550
PA3724	44082	26305	31497	33961
PA4231	33045	33829	34397	33757
PA3066	31354	33223	36338	33638
PA4133	40273	26798	33442	33504
PA0299	36415	31796	32017	33409
PA4386	34237	34737	30738	33237
PA0300	36687	32289	30596	33190
PA0139	35525	29508	30041	31691
PA2952	33183	30520	28746	30816
PA0762	26931	31003	31171	29701
PA1787	30376	30377	28268	29673
PA3162	29939	30212	28862	29671
PA4370	32495	29849	26118	29487
PA0266	33102	27981	27177	29420
PA4542	29319	29744	28361	29141
PA1609	29334	29156	27341	28610
PA5253	27482	28472	29352	28435
PA5015	30731	27869	26522	28374
PA1770	28706	28511	27458	28225
PA2402	28973	27912	27786	28223
PA4277	24157	31706	27694	27852
PA0973	27629	28207	27008	27614
PA1804	28590	24969	26468	26675
PA4848	26166	28086	25742	26664
PA4205	27433	26217	26255	26635
PA3617	29818	23712	26277	26602
PA1852	24055	27178	28457	26563
PA3366	26463	27774	25276	26504
PA0996	29211	24758	25066	26345
PA4406	26463	26445	25694	26200
PA4756	26708	26772	24573	26017
PA1946	23516	27663	26176	25785
PA2966	21653	29107	26505	25755
PA5554	26035	26865	24279	25726
PA3922	30753	23593	22818	25721
PA4280.2	20148	31150	25230	25509
PA4274	26682	26513	23255	25483
PA3115	25149	24613	26034	25265
PA4206	23703	24581	27206	25163
PA3159	24126	26806	24558	25163
PA3530	23027	26190	26155	25124
PA0833	27382	23395	24307	25028
PA1596	27248	24072	22486	24602
PA3126	25226	23684	24297	24402
PA1776	24271	23339	25506	24372
PA1179	25587	22993	24492	24357
PA0376	23956	24650	24161	24255
PA4607	20399	25242	26819	24153
PA4407	23102	24083	24429	23871
PA1342	24568	24173	22537	23759
PA2760	23025	23966	23159	23383
PA3067	22727	22075	25183	23328
PA1586	23495	23868	22143	23168
PA4595	24125	22430	22437	22997
PA2381	23193	22788	22398	22793
PA4366	22099	23533	21941	22524
PA3385	25359	20538	21054	22317
PA1074	23301	21921	21650	22290
PA2001	22716	20826	22159	21900
PA4227	23437	19352	21748	21512
PA2424	24614	19484	19991	21363
PA4238	21526	22098	19929	21184
PA0432	21345	20925	19779	20683
PA5060	19216	20756	21803	20591
PA4733	21749	19797	20217	20587
PA0265	21923	19889	19913	20575
PA0449	22902	18910	19819	20543
PA4273	19683	21776	20079	20512
PA2862	22282	20069	18744	20365
PA3623	17295	21779	21144	20072
PA5153	21224	19198	19348	19923
PA2015	21491	19200	18903	19864
PA0482	20406	19884	18940	19743
PA1048	21448	18610	18584	19547
PA0296	21103	18332	18708	19381
PA2634	19833	20075	18012	19306
PA4271	18694	21056	18103	19284
PA2386	23452	17547	16694	19231
PA0500	18093	21180	18302	19191
PA3349	20249	18185	19099	19177
PA4263	18786	19527	18052	18788
PA3810	17458	18820	19965	18747
PA1151	18528	18976	18247	18583
PA4726	19733	17929	17885	18515
PA1372	19516	18794	17151	18487
PA0795	19484	18518	16944	18315
PA1584	17967	18868	18109	18314
PA1793	17584	19187	18016	18262
PA4470	18747	17384	18335	18155
