##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995085_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25124752
Total Bases	1.8 Gbp
Sequences flagged as poor quality	0
Sequence length	15-76
%GC	60
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.561871496283825	32.0	32.0	32.0	32.0	32.0
2	31.450816111538135	32.0	32.0	32.0	32.0	32.0
3	31.424107629002666	32.0	32.0	32.0	32.0	32.0
4	31.436064801754064	32.0	32.0	32.0	32.0	32.0
5	31.462856946806877	32.0	32.0	32.0	32.0	32.0
6	35.08835394673746	36.0	36.0	36.0	36.0	36.0
7	35.15742244938378	36.0	36.0	36.0	36.0	36.0
8	35.12196430834422	36.0	36.0	36.0	36.0	36.0
9	35.148110397268795	36.0	36.0	36.0	36.0	36.0
10-11	35.149805160265856	36.0	36.0	36.0	36.0	36.0
12-13	35.17491024389017	36.0	36.0	36.0	36.0	36.0
14-15	35.12929188315968	36.0	36.0	36.0	36.0	36.0
16-17	35.118661725811656	36.0	36.0	36.0	36.0	36.0
18-19	35.11608977669344	36.0	36.0	36.0	36.0	36.0
20-21	35.08957141448125	36.0	36.0	36.0	36.0	36.0
22-23	35.069184784384234	36.0	36.0	36.0	36.0	36.0
24-25	35.040401876232664	36.0	36.0	36.0	36.0	36.0
26-27	35.04373249347056	36.0	36.0	36.0	36.0	36.0
28-29	35.04420232249837	36.0	36.0	36.0	36.0	36.0
30-31	35.04980683898796	36.0	36.0	36.0	36.0	36.0
32-33	35.02359709755075	36.0	36.0	36.0	36.0	36.0
34-35	35.02666423065082	36.0	36.0	36.0	36.0	36.0
36-37	35.006595820354306	36.0	36.0	36.0	36.0	36.0
38-39	35.0179499814065	36.0	36.0	36.0	36.0	36.0
40-41	34.98990017845232	36.0	36.0	36.0	36.0	36.0
42-43	34.95088537205159	36.0	36.0	36.0	36.0	36.0
44-45	34.93514094960113	36.0	36.0	36.0	36.0	36.0
46-47	34.94614531295936	36.0	36.0	36.0	36.0	36.0
48-49	34.88103028049777	36.0	36.0	36.0	36.0	36.0
50-51	34.86163620207218	36.0	36.0	36.0	36.0	36.0
52-53	34.85721624931379	36.0	36.0	36.0	36.0	36.0
54-55	34.78952936039525	36.0	36.0	36.0	36.0	36.0
56-57	34.741509941489795	36.0	36.0	36.0	32.0	36.0
58-59	34.71482211233763	36.0	36.0	36.0	32.0	36.0
60-61	34.599453903868444	36.0	36.0	36.0	32.0	36.0
62-63	34.57794855367637	36.0	36.0	36.0	32.0	36.0
64-65	34.637371974139	36.0	36.0	36.0	32.0	36.0
66-67	34.61965409039828	36.0	36.0	36.0	32.0	36.0
68-69	34.5448431579002	36.0	36.0	36.0	32.0	36.0
70-71	34.59113093743596	36.0	36.0	36.0	32.0	36.0
72-73	34.629393510368416	36.0	36.0	36.0	32.0	36.0
74-75	34.807079000446784	36.0	36.0	36.0	32.0	36.0
76	34.551020910752335	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.027069704885391843
11101	2	0.04748670801088295
11101	3	0.09980868861131498
11101	4	0.04788704792490961
11101	5	0.06548216749582281
11101	6	0.07393768894456088
11101	7	0.09729726590848031
11101	8	0.07737030462834582
11101	9	0.0664847873790464
11101	10-11	0.07429387708258872
11101	12-13	0.07204746676692508
11101	14-15	0.06706422791886979
11101	16-17	0.07387625708960854
11101	18-19	0.06728240281454845
11101	20-21	0.05478005254685314
11101	22-23	0.08905977477670035
11101	24-25	0.10409928272085978
11101	26-27	0.0933117942661994
11101	28-29	0.10799381685021103
11101	30-31	0.09573183470490676
11101	32-33	0.1161426174209268
11101	34-35	0.09150165424119194
11101	36-37	0.10976496277481118
11101	38-39	0.10147764333005682
11101	40-41	0.10993803942357516
11101	42-43	0.10286484385869699
11101	44-45	0.08968995512727673
11101	46-47	0.12838250680465535
11101	48-49	0.11323290122517449
11101	50-51	0.12948666811158915
11101	52-53	0.11905650834859216
11101	54-55	0.15309134568626348
11101	56-57	0.1732660825663217
11101	58-59	0.16768366680365432
11101	60-61	0.17588557110110514
11101	62-63	0.20282379454629051
11101	64-65	0.1641206979359211
11101	66-67	0.19687685858738746
11101	68-69	0.2231446146906535
11101	70-71	0.21518133556643448
11101	72-73	0.19634356129495956
11101	74-75	0.1966343630271794
11101	76	0.09066057808345818
11102	1	0.04782220965925177
11102	2	0.0665818437232133
11102	3	0.07332893603438961
11102	4	0.08655534996961123
11102	5	0.07327528255428817
11102	6	0.08485127845505502
11102	7	0.09100921811696594
11102	8	0.06643137637814789
11102	9	0.0783163049617599
11102	10-11	0.06426909629539779
11102	12-13	0.06949132279594039
11102	14-15	0.09578364995703481
11102	16-17	0.09750204469531099
11102	18-19	0.07339629341544907
11102	20-21	0.06135090209851768
11102	22-23	0.1021202107560839
11102	24-25	0.09991192741622967
11102	26-27	0.09174828838811777
11102	28-29	0.08758467851554741
11102	30-31	0.06157023873095113
11102	32-33	0.1275490872965932
11102	34-35	0.14096312106792652
11102	36-37	0.09373755372732262
11102	38-39	0.09888643196695313
11102	40-41	0.09082511563537565
11102	42-43	0.1268489023558601
11102	44-45	0.14488911619962863
11102	46-47	0.14381331595065205
11102	48-49	0.11017790020035534
11102	50-51	0.140237518546229
11102	52-53	0.09632244223485031
11102	54-55	0.18703378006765803
11102	56-57	0.17558838511259012
11102	58-59	0.19417236787924708
11102	60-61	0.11663295115545225
11102	62-63	0.16149757230108008
11102	64-65	0.1676428438071511
11102	66-67	0.13032478665799374
11102	68-69	0.22598577487990923
11102	70-71	0.16642688458245658
11102	72-73	0.15628871696412716
11102	74-75	0.10174868015747762
11102	76	-0.011516285237931356
11103	1	0.03841989378396704
11103	2	0.031080721379090903
11103	3	0.07005570982607523
11103	4	0.07038254342040418
11103	5	0.042532152965161885
11103	6	0.05955117339675553
11103	7	0.09503978261874124
11103	8	0.045088409830320586
11103	9	0.08281027415614517
11103	10-11	0.06208768702156675
11103	12-13	0.08666894308195339
11103	14-15	0.07672290272270743
11103	16-17	0.10486940423377433
11103	18-19	0.024017836953369454
11103	20-21	0.027654833001420798
11103	22-23	0.06705079551537807
11103	24-25	0.09788557443729218
11103	26-27	0.09907589542920903
