##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR14995084_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24865591
Total Bases	1.8 Gbp
Sequences flagged as poor quality	0
Sequence length	15-76
%GC	60
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.630975028906413	32.0	32.0	32.0	32.0	32.0
2	31.685812213351372	32.0	32.0	32.0	32.0	32.0
3	31.720857790993183	32.0	32.0	32.0	32.0	32.0
4	31.75777161298921	32.0	32.0	32.0	32.0	32.0
5	31.781879385050612	32.0	32.0	32.0	32.0	32.0
6	35.47382807028395	36.0	36.0	36.0	36.0	36.0
7	35.471865156955246	36.0	36.0	36.0	36.0	36.0
8	35.436396062333685	36.0	36.0	36.0	36.0	36.0
9	35.44096478543381	36.0	36.0	36.0	36.0	36.0
10-11	35.46047873947577	36.0	36.0	36.0	36.0	36.0
12-13	35.466381374164804	36.0	36.0	36.0	36.0	36.0
14-15	35.443833790236475	36.0	36.0	36.0	36.0	36.0
16-17	35.445176346699284	36.0	36.0	36.0	36.0	36.0
18-19	35.441230376302855	36.0	36.0	36.0	36.0	36.0
20-21	35.445672471585254	36.0	36.0	36.0	36.0	36.0
22-23	35.44192494603641	36.0	36.0	36.0	36.0	36.0
24-25	35.41780789909936	36.0	36.0	36.0	36.0	36.0
26-27	35.39445744094795	36.0	36.0	36.0	36.0	36.0
28-29	35.39136454787396	36.0	36.0	36.0	36.0	36.0
30-31	35.380205799827685	36.0	36.0	36.0	36.0	36.0
32-33	35.35682301955768	36.0	36.0	36.0	36.0	36.0
34-35	35.35903642029694	36.0	36.0	36.0	36.0	36.0
36-37	35.3398948027787	36.0	36.0	36.0	36.0	36.0
38-39	35.332106112049864	36.0	36.0	36.0	36.0	36.0
40-41	35.33166556793574	36.0	36.0	36.0	36.0	36.0
42-43	35.316745305164645	36.0	36.0	36.0	36.0	36.0
44-45	35.296292608752374	36.0	36.0	36.0	36.0	36.0
46-47	35.27753583325803	36.0	36.0	36.0	36.0	36.0
48-49	35.261915738930114	36.0	36.0	36.0	36.0	36.0
50-51	35.24795046835925	36.0	36.0	36.0	36.0	36.0
52-53	35.260477843624884	36.0	36.0	36.0	36.0	36.0
54-55	35.23097572967941	36.0	36.0	36.0	36.0	36.0
56-57	35.196091021868256	36.0	36.0	36.0	36.0	36.0
58-59	35.21508849057433	36.0	36.0	36.0	36.0	36.0
60-61	35.15823585634225	36.0	36.0	36.0	36.0	36.0
62-63	35.165485031214935	36.0	36.0	36.0	36.0	36.0
64-65	35.15612922488501	36.0	36.0	36.0	36.0	36.0
66-67	35.100797801725626	36.0	36.0	36.0	36.0	36.0
68-69	35.06287189532336	36.0	36.0	36.0	36.0	36.0
70-71	35.04630856969954	36.0	36.0	36.0	36.0	36.0
72-73	35.0442628091793	36.0	36.0	36.0	32.0	36.0
74-75	35.1403773324587	36.0	36.0	36.0	32.0	36.0
76	34.93941847217692	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0873312230929244
11101	2	0.07473732859218529
11101	3	0.055990095028992215
11101	4	0.07088688206362903
11101	5	0.03441720166789608
11101	6	0.03977138635902833
11101	7	0.06122875261686289
11101	8	0.051609048451744854
11101	9	0.08719290688576109
11101	10-11	0.0459828769199504
11101	12-13	0.06145011113375176
11101	14-15	0.05072636476569414
11101	16-17	0.05837181967456928
11101	18-19	0.0617213339299596
11101	20-21	0.07004199493051289
11101	22-23	0.06368903638225731
11101	24-25	0.04829069616334891
11101	26-27	0.054948794038722326
11101	28-29	0.07829346423214645
11101	30-31	0.034436173067348363
11101	32-33	0.05764939880344855
11101	34-35	0.06576359468560611
11101	36-37	0.06585381435205306
11101	38-39	0.07486942682706399
11101	40-41	0.08896580377286512
11101	42-43	0.0636754971369271
11101	44-45	0.08798720619653722
11101	46-47	0.0738372830224634
11101	48-49	0.08750946153990213
11101	50-51	0.08776669464901232
11101	52-53	0.041207262600316596
11101	54-55	0.07423332180124476
11101	56-57	0.10234154249019412
11101	58-59	0.038476391300235946
11101	60-61	0.06190752280443235
11101	62-63	0.05432140049225609
11101	64-65	0.10576272241480922
11101	66-67	0.0939443894651859
11101	68-69	0.08897586585269579
11101	70-71	0.0321818753251506
11101	72-73	0.05874003617219614
11101	74-75	0.06689113005700875
11101	76	0.03632514468733916
11102	1	0.03811072401550675
11102	2	0.09320493823454612
11102	3	0.06377587600288592
11102	4	0.05905971157312706
11102	5	0.020602722282472286
11102	6	0.07193343147840636
11102	7	0.07443941876596938
11102	8	0.06780341455554151
11102	9	0.08617216058153332
11102	10-11	0.06663526915873064
11102	12-13	0.08540531107625071
11102	14-15	0.05871905843434888
11102	16-17	0.05020469873429789
11102	18-19	0.06725068582429117
11102	20-21	0.08782609408405762
11102	22-23	0.059111168817167936
11102	24-25	0.05539392484609351
11102	26-27	0.06983982113449372
11102	28-29	0.04567126957098111
11102	30-31	0.082592352313128
11102	32-33	0.04166492506682573
11102	34-35	0.06500082504286553
11102	36-37	0.07771566050226397
11102	38-39	0.0802565071733028
11102	40-41	0.06096660776472618
11102	42-43	0.08260075040627157
11102	44-45	0.10937291341496547
11102	46-47	0.08415008234330656
11102	48-49	0.08846049025967773
11102	50-51	0.09313427547781572
11102	52-53	0.0701079989733202
11102	54-55	0.05635127160003606
11102	56-57	0.07477626301778173
11102	58-59	0.11550749703205554
11102	60-61	0.11908211696465543
11102	62-63	0.1323916622461212
11102	64-65	0.11227909912499712
11102	66-67	0.051119509093012994
11102	68-69	0.11625673189909236
11102	70-71	0.14207792865059332
11102	72-73	0.12029944290014072
11102	74-75	0.059600956328964116
11102	76	-0.15033834601773322
11103	1	0.06273118112311948
11103	2	0.06572846958405876
11103	3	0.043039653190074745
11103	4	0.04682462270089616
11103	5	0.05547275119671369
11103	6	0.07891576693981506
11103	7	0.06460807786330491
11103	8	0.038203363143487934
11103	9	0.07239294814421271
11103	10-11	0.05095309791943947
11103	12-13	0.052821370085680996
11103	14-15	0.0793434929816641
11103	16-17	0.07235980270525744
11103	18-19	0.059379801465127
11103	20-21	0.07798364116367651
11103	22-23	0.08175785690153248
11103	24-25	0.07083474357646224
11103	26-27	0.09095430541208316
11103	28-29	0.0914568801485629
11103	30-31	0.07750907752718206
11103	32-33	0.055373222925346965
11103	34-35	0.07125919869933028
11103	36-37	0.0737509828330829
11103	38-39	0.08793890280936978
11103	40-41	0.037355572513860125
11103	42-43	0.11033833232978196
