# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "--countReadPairs" "-s" "0" "-a" "PAO1_2/data/reference/Pseudomonas_aeruginosa_PAO1_107.gff" "-o" "PAO1_2/results/counts/SRR14995086_counts.txt" "-t" "gene" "-g" "Alias" "PAO1_2/data/aligned/SRR14995086.bam" 
Geneid	Chr	Start	End	Strand	Length	PAO1_2/data/aligned/SRR14995086.bam
PA0001	refseq|NC_002516.2|chromosome	483	2027	+	1545	8005
PA0002	refseq|NC_002516.2|chromosome	2056	3159	+	1104	9049
PA0003	refseq|NC_002516.2|chromosome	3169	4278	+	1110	3659
PA0004	refseq|NC_002516.2|chromosome	4275	6695	+	2421	12483
PA0005	refseq|NC_002516.2|chromosome	7018	7791	-	774	1027
PA0006	refseq|NC_002516.2|chromosome	7803	8339	-	537	1041
PA0007	refseq|NC_002516.2|chromosome	8671	10377	+	1707	4887
PA0008	refseq|NC_002516.2|chromosome	10434	12488	-	2055	2782
PA0009	refseq|NC_002516.2|chromosome	12488	13435	-	948	1975
PA0010	refseq|NC_002516.2|chromosome	13540	14091	+	552	483
PA0011	refseq|NC_002516.2|chromosome	14235	15122	+	888	1536
PA0012	refseq|NC_002516.2|chromosome	15207	15473	+	267	991
PA0013	refseq|NC_002516.2|chromosome	15620	16273	+	654	447
PA0014	refseq|NC_002516.2|chromosome	16335	16607	-	273	530
PA0015	refseq|NC_002516.2|chromosome	16900	17217	-	318	1424
PA0016	refseq|NC_002516.2|chromosome	17366	18739	-	1374	2781
PA0017	refseq|NC_002516.2|chromosome	18767	20071	-	1305	980
PA0018	refseq|NC_002516.2|chromosome	20068	21012	-	945	1156
PA0019	refseq|NC_002516.2|chromosome	21067	21573	-	507	4703
PA0020	refseq|NC_002516.2|chromosome	21712	22737	+	1026	2705
PA0021	refseq|NC_002516.2|chromosome	22872	23960	+	1089	273
PA0022	refseq|NC_002516.2|chromosome	24001	24558	+	558	793
PA0023	refseq|NC_002516.2|chromosome	24568	25545	-	978	3225
PA0024	refseq|NC_002516.2|chromosome	25736	26653	+	918	717
PA0025	refseq|NC_002516.2|chromosome	26711	27535	+	825	556
PA0026	refseq|NC_002516.2|chromosome	27646	28632	+	987	1835
PA0027	refseq|NC_002516.2|chromosome	28613	29899	+	1287	773
PA0028	refseq|NC_002516.2|chromosome	29896	30498	+	603	284
PA0029	refseq|NC_002516.2|chromosome	30502	32055	-	1554	338
PA0030	refseq|NC_002516.2|chromosome	32060	32983	-	924	212
PA0031	refseq|NC_002516.2|chromosome	33000	34511	-	1512	724
PA0032	refseq|NC_002516.2|chromosome	34624	35538	+	915	700
PA0033	refseq|NC_002516.2|chromosome	35905	36270	-	366	331
PA0034	refseq|NC_002516.2|chromosome	36278	36901	-	624	228
PA0035	refseq|NC_002516.2|chromosome	37087	37893	-	807	1440
PA0036	refseq|NC_002516.2|chromosome	37890	39098	-	1209	2830
PA0037	refseq|NC_002516.2|chromosome	39202	40089	+	888	744
PA0038	refseq|NC_002516.2|chromosome	40190	40405	+	216	4218
PA0039	refseq|NC_002516.2|chromosome	40589	40816	+	228	12683
PA0040	refseq|NC_002516.2|chromosome	41113	42801	+	1689	716
PA0041	refseq|NC_002516.2|chromosome	42914	53521	+	10608	2640
PA0042	refseq|NC_002516.2|chromosome	56546	56941	+	396	614
PA0043	refseq|NC_002516.2|chromosome	57212	58594	-	1383	1196
PA0044	refseq|NC_002516.2|chromosome	58786	60159	+	1374	782
PA0045	refseq|NC_002516.2|chromosome	60656	61342	+	687	193
PA0046	refseq|NC_002516.2|chromosome	61373	61726	+	354	86
PA0047	refseq|NC_002516.2|chromosome	61879	62388	+	510	95
